HomeTeam,AwayTeam,FTHome,FTAway,HTHome,HTAway,Week
Arsenal,Leicester City,4,3,2,2,1
Watford,Liverpool,3,3,2,1,1
Chelsea,Burnley,2,3,0,3,1
Crystal Palace,Huddersfield Town,0,3,1,2,1
Everton,Stoke City,,0,1,0,1
Southampton,Swansea City,0,0,0,0,1
West Bromwich Albion,AFC Bournemouth,1,0,1,0,1
Brighton & Hove Albion,Manchester City,0,2,0,0,1
Newcastle United,,0,2,0,0,1
Manchester United,West Ham United,4,0,1,0,1
Swansea City,Manchester United,0,4,0,1,2
AFC Bournemouth,Watford,0,2,,0,2
Burnley,West Bromwich Albion,0,1,0,0,2
Leicester Cty,Brighton & Hove Albion,2,0,1,0,2
Liverpool,Crystal Palace,1,0,0,0,2
Southampton,West Ham United,3,2,2,1,2
Stoke City,,1,0,2,0,2
Huddersfield Town,Newcastle United,1,0,0,0,2
Tottenham Hotspur,Chelsea,1,2,0,1,2
Manchester City,Everton,1,1,0,1,2
AFC Bournemouth,Manchester City,1,2,1,1,3
Crystal Palace,Swansea City,0,2,0,1,3
Huddersfield Town,Southampton,0,0,0,0,3
Newcastle United,West Ham United,3,0,1,0,3
Watford,Brighton & Hove Albion,0,0,0,0,3
Manchester United,Leicester City,2,0,0,0,3
Chelsea,Everton,,0,2,0,3
Arsenal,Arsenal,2,0,2,0,3
Crystal Palace,Swansea City,1,1,0,1,3
West Bromwich Albion,Stoke City,1,1,0,0,3
Liverpool,Arsenal,4,0,2,0,3
Liverpool,Brighton & Hove Albion,a,0,2,0,3
